ID,Description
19,"I need a digital design for construction signage for a luxury townhouse development in Vancouver, BC. The sign will be 32 ft long x 8 ft tall, divided into 4 sections. Requirements: - Minimal wording (content is ready) - Font, colors, and background design needed - Design style: Minimalist and clean - Color palette: Earth tones (beige, green); would consider blue tones - Font style: Serif (elegant and classic) - Example images of desired sign style will be provided Ideal Skills and Experience: - Proficiency in graphic design software - Experience with large format signage design - Strong understanding of color theory and typography - Ability to create minimalist and elegant designs Please provide samples of previous work."
20,"Look for new logo design for Crane Truck Transport Company. (Vectorized line drawings and high quality images preferred, in either PDF, AI of EPS format). Have attached current logo. Australian Flag must be in it"
21,"I'm seeking an experienced video editor for daily YouTube vlogs. Footage will be provided every evening, and I need a polished vlog (5–10 minutes) delivered by the next morning. Essential skills: - Jump cuts - Color grading - B-roll - Sound balancing - Adding music/text Bonus: Experience in a unique style Please include: - Portfolio or samples of past vlog edits - Your rate per vlog - Preferred editing software - Typical turnaround time"
22,I need a classical music score for a string quartet. The piece should convey a melancholic mood. Requirements: - Original composition for string quartet - Classical music expertise - Ability to evoke melancholic emotions through music Ideal Skills and Experience: - Proficiency in composing for string instruments - Strong understanding of classical music theory - Experience with melancholic musical themes - Using Please provide samples of similar work.
23,"A 90 minute, 45 GB video needs to be brought to the highest level by removing blur."
24,"I need an affiliate marketing link generator app and website. The platform should support Amazon, Flipkart, Meesho, and other brands. Key Requirements: - Refer and Earn: Lifetime commission structure. - Free Affiliate Courses: Including coupon codes for influencers for final certificate 1500 prize , coupon : 50% off final prize 750 for clients 250 commission for influencers - Advanced Admin Panel: For managing and viewing statistics add coins and accept payments, send latest deals to get login - Influencer Dashboard: Login to view statistics, referrals, and commissions. Additional Features: - 1500/- coupon offer and 750/- commission for influencers. - Minimum 500/- withdrawal. - Daily bonuses. - 5-6 banner ad templates for influencers (long, reels, shorts). - Logo ad size included. for..."
25,I need a 1 to 5 minute video from a security camera unpixelated. The goal is to clarify objects or text in the video. Ideal Skills and Experience: - Experience with video enhancement software - Ability to improve video clarity - Attention to detail
26,I'm seeking an experienced digital marketer or music promoter to enhance the organic visibility of my music on Spotify and YouTube. The goal is to drive real engagement through: - Playlist submissions - Social media marketing - Influencer outreach - YouTube SEO Ideal skills and experience: - Proven track record in music promotion - Strong network of influencers and playlists - Expertise in social media marketing - Knowledge of YouTube algorithms and SEO Your strategies and creativity are welcome!
27,"I need a professional photo editor to enhance 5 product images for Amazon and my company's website. The images should be defect-free and align with my brand's clean and professional guidelines. Requirements: - Edit and enhance 5 photos - Remove any defects - Ensure Amazon compliance Ideal Skills: - Proficiency in photo editing software - Attention to detail - Experience with Amazon image requirements Note: I can provide additional photos, the ones you see in the attachments is just to have an Idea, you can use them if you like."
28,"Using the latest science, we have developed the Scientific Diet Quiz that uses a proprietary algorithm to accurately calculate your unique metrics. Key requirements: - Understand the latest diet science - - Genuine interest in diet and how it affects your health - Strong summary writing skills - Comfortable offering public feedback - Ability to simplify complex topics Ideal Skills: - Technical ability to take Quiz (desktop or mobile) - Science communication - Trend awareness Please answer the following questions: 1. True or False - The Standard BMI estimates body fat to assess health risks, and when a person is within safe BMI (18.5 to 24.99) they no longer have any excess body fat? 2. True or False - According to the latest science, the best diet to safely lose regular white/yellow..."
29,"Using the latest science, we have developed the Scientific Exercise Quiz that uses a proprietary algorithm to accurately calculate your unique metrics. Key requirements: - Understand the latest exercise science - - Genuine interest in exercise and how it affects your health - Strong summary writing skills - Comfortable offering public feedback - Ability to simplify complex topics Ideal Skills: - Technical ability to take Quiz (desktop or mobile) - Science communication - Trend awareness Please answer the following questions: 1. True or False - The Standard BMI estimates body fat to assess health risks, and when a person is within safe BMI (18.5 to 24.99) they no longer have any excess body fat? 2. True or False - It is not possible to do too much exercise? 3. True or False - Because..."
30,I'm looking for a low-cost VPS hosting option to run my web applications. Key Requirements: - Budget-friendly pricing - Suitable for running web applications - Self-managed; I don't need technical support Ideal Skills & Experience: - Experience in setting up and managing VPS - Knowledge of various VPS providers and their pricing - Familiarity with web application requirements on a VPS Please provide options that fit within a tight budget.
31,"I'm seeking a comprehensive, done-for-you affiliate marketing setup on ClickBank, focusing on high-converting digital self-improvement products. My aim is to generate at least $200 per day. Key Requirements: - Select trending, high-converting ClickBank products. - Create a professional landing page and sales funnel. - Set up and manage paid ads (if necessary). Ideal Skills and Experience: - Proven track record in affiliate marketing, especially on ClickBank. - Expertise in digital product promotion and self-improvement niche. - Strong skills in building landing pages and sales funnels. - Experience in managing paid ads with measurable results. Please provide: - Full process overview from start to finish. - Recommended tools, platforms, or products. - Examples or case studies of pas..."
32,"I need an expert to grow my TikTok account to at least 5k. The account can be in any niche, and I’m open to suggestions. Ideal Skills and Experience: - Proven track record in increasing TikTok followers - Knowledge of TikTok trends and algorithms - Ability to create engaging content and captions, using AI or not. - Experience with analytics to track growth Please share examples of previous work and strategies you would use."
33,"I need realistic 3D renders of our furniture, such as sofas, sideboards, and vases, in various home settings. The style should match the furniture, whether modern, traditional, or minimalist. Requirements: - High-quality, realistic 3D renders - Ability to adapt to different styles - Focus on main materials of each piece (wood, metal, or fabric) Ideal Skills and Experience: - Proficiency in 3D rendering software (e.g., Blender, 3ds Max) - Strong eye for design and detail - Experience in furniture and interior visualization"
34,"I need an experienced Python developer to scrape media files and text content. Requirements: - Proficiency in Python and scraping libraries (Beautiful Soup, Scrapy, etc.) - Experience with handling both media files and text and save them in excel table - Strong attention to detail and data accuracy - Ability to work within budget and timeline Ideal Skills and Experience: - Previous data scraping projects - Familiarity with anti-scraping measures and how to circumvent them - Good communication skills for project updates Please include your relevant experience in your application."
35,I need an accurate quantity takeoff of fire detection and alarm system components from pre-designed drawings across multiple projects. Required Components: - Smoke detectors - Fire alarm control panels - Manual call points - Loudspeakers - Visual alarm devices (strobes) - Fire phones - Smoke alarms - Various additional related components Ideal Skills and Experience: - Proficiency in reading and interpreting fire protection drawings - Experience with quantity takeoff for fire protection systems - Attention to detail and accuracy - Familiarity with fire detection and alarm systems Drawings for one typical project are attached here. Quantities and complexity of the projects will vary significantly. There are could be between 10 and 40 projects per month. Please quote a price per 100 compo...
36,"I'm seeking a talented songwriter and producer fluent in both English and Spanish. The project is a Latin love song, and I need someone who can capture the essence of love in a catchy and heartfelt way. Ideal Skills and Experience: - Expertise in Latin genres (Reggaeton, Salsa, Bachata) - Strong songwriting abilities in both languages - Experience in music production - Creative and passionate about love themes"
37,"We need a skilled web developer to create and add, 3min timed questionnaire to a button on my Plesk, Node.js based website. Key Requirements: - The questions must be accessible on the admin panel and available for members. - Members should have the capability to respond via video chat or MP4. - The freelancer will need to enable video chat and MP4 messages between members. - An additional page on the website will need to be created via the admin panel with checkboxes. - Link to GitHub account Ideal Skills: - Extensive experience with Plesk, Node.js. - Proficient in video chat integration (preferably WebRTC). - Familiar with building and modifying admin panels. - Understanding of creating user-friendly interfaces for interactive features."
38,"I'm seeking an Azure expert to deploy a dashboard for our organization. The dashboard manages data, allows image and PDF uploads, and sends PDFs via email. The project is currently facing some deployment issues, and I need an expert to: - Resolve existing pipeline issues - Set up configuration correctly and deploy the project. - Ensure smooth integration of Azure DevOps, Functions, and Storage Ideal skills and experience: - Strong expertise in Azure DevOps, Azure Functions, and Azure Storage - Experience with CI/CD pipeline setup and troubleshooting - Good understanding of configuration management - Ability to resolve deployment issues efficiently Your expertise will help ensure a successful and smooth deployment."
39,"I'm seeking a skilled WordPress developer to resolve an issue with my login form. I'm receiving an error message that says ""Username not found"" when attempting to log in. I've already tried some troubleshooting steps, but nothing has worked. Key Requirements: - Access to FTP and WordPress dashboard - Diagnose and fix the ""Username not found"" error - Ensure login form is functional after repair - Provide a brief report on the fix Ideal Skills and Experience: - Proficient in WordPress and FTP - Experience with WordPress login issues - Strong problem-solving skills - Good communication skills"
40,"I'm in need of a seasoned professional or team for comprehensive planning and coordination of a corporate event. The venue has been secured already, so the focus will be on ensuring the event runs smoothly from start to finish. This project requires: - Extensive experience in event planning and coordination, particularly for corporate functions. - Exceptional organizational skills to manage various aspects of the event. - A proactive approach to problem-solving and ensuring a seamless event experience. Please, only bid if you have demonstrable experience in similar projects."
41,"I'm looking for an experienced video editor to create 8-10 minute entertaining and humorous F1 videos. You will also source relevant clips. Key Requirements: - Focus on F1 topics - Include race clips, interview segments, and behind-the-scenes footage - Maintain an entertaining Ideal Skills and Experience: - Proficiency in video editing software (e.g., Adobe Premiere Pro, Final Cut Pro) - Creativity in making engaging and humorous edits - Experience sourcing and integrating various video clips Please include samples of similar work in your bids."
42,"I need a project to manufacture the items in this link. :pcDetailBottomMoreOtherSeller,scm-url:1007.40196.436742.0,pvid:646debad-09e6-4986-956a-6c6b7ef934a7,tpp_buckets:668%232846%238115%232000&pdp_ext_f=%7B%22order%22%3A%2214%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%7D&pdp_npi=4%40dis%21BRL%2160.24%2148.19%21%21%2110.16%218.13%21%402101eab017459662980016733eadd9%2112000038619149223%21rec%21BR%21892788652%21X&utparam-url=scene%3ApcDetailBottomMoreOtherSeller%7Cquery_from%3A"
43,"I'm looking for a talented caricature artist to create a fun, cartoonish digital caricature of two characters. The final artwork will be printed on a shirt. Requirements: - Cartoonish style - Two characters - Custom background or setting Ideal Skills & Experience: - Strong illustration skills - Experience in creating caricatures - Ability to design custom backgrounds - Proficiency in digital art tools"
44,"I need high-resolution images of aircraft cockpits, with arrows showing the locations of specific controls. The final product should be in PDF format. Requirements: - Images for the following aircraft: - Cessna 172 - Challenger 300 Learjet - Douglas DC3 - Robin DR400 - Curtis P40E - Boeing 747 - F/A-18 Hornet - B2 Spirit - F22 Raptor - A-10 Thunderbolt - E2C Hawkeye - Pitts Special (no flaps) - Controls to be indicated: - Throttle Lever - Flaps Lever or Switch - Landing Gear Lever or Switch - Parking Brake Lever or Switch - Deliverable: PDF document with high-res images and arrows pointing to the controls. Annotations optional. Ideal Skills: - Proficient with image search and document creation - Attention to detail - Ability to provide high-resolution..."
45,"I'm in need of a seasoned professional or team for comprehensive planning and coordination of a corporate event. The venue has been secured already, so the focus will be on ensuring the event runs smoothly from start to finish. This project requires: - Extensive experience in event planning and coordination, particularly for corporate functions. - Exceptional organizational skills to manage various aspects of the event. - A proactive approach to problem-solving and ensuring a seamless event experience. Please, only bid if you have demonstrable experience in similar projects."
46,"I'm looking for a dev to create a personal wrapper for YouTube on mobile platforms (iOS version 18+) Key Requirements: - Able to login with google - 2 tabs (recommended & playlist ""view later"") - recommended only shows recommended videos as on the home page - view-later shows all the videos marked as view later with a thumbnail Ideal Skills and Experience: - its up to you if you use swift or react native, just tell me before - Familiarity with YouTube API - Strong UI/UX design skills for a customized interface"
47,"I need help formatting my 33-page, 12,000-word paper in APA style. You will need to: - Indent paragraphs - Double-space the document - Ensure 5 citations are correctly formatted The paper is in Google Docs, and needs to be saved as .doc or .docx for Microsoft Word. No editing or proofreading - I do not want anything changed. Unfortunately, this is a very timely project with a Apr 30, 2pm EST deadline. In your bid please indicate the time and date you will have it completed so I know you read and understand this requirement. Obviously it must be worked on in the next 20 hours."
48,I need a professional to conduct background checks for pre-employment vetting. Key requirements: - Criminal history - Employment history - Education verification Ideal skills and experience: - Experience with background check services - Knowledge of local laws and regulations in Medellín - Ability to provide detailed and accurate reports - Discretion and confidentiality
49,أبحث عن كاتب مقالات موهوب للعمل عبر الإنترنت. مواضيع متنوعة، أفكار أصلية ضرورية. يفضل المرشحين ذوي الخبرة في كتابة المقالات.
50,"I'm looking for a comprehensive SEO and content writing specialist to enhance my website's visibility and engage my audience. I would prefer if English is your native language. Key areas of assistance include: SEO Optimization: - Keyword Research: Identify high-impact keywords. - On-Page Optimization: Improve existing content. - Link Building: Establish quality backlinks. Content Creation: - Blog Writing: Focus on yacht industry and cruise travel news. - Newsletter Writing: Craft engaging, informative content. Ideal Skills & Experience: - Proven SEO track record. - Strong writing skills. - Experience in keyword research and link building. - Knowledge of yacht industry and cruise travel trends. Please provide samples of past work. Looking forward to your bids! Thank You."
51,"Task: Identify issue with images that causes them not to align properly. If the image sizes (height x width) need to be different, tell us EXACTLY what sizes so we can recreate/fix the images) Need someone who has a team of individuals who are 100% proficient in photoshop and can edit all the images for all the pages and fix them as well perfectly 3 Images total: Header -> 2/3 column image, 1/3 column image Footer -> 1/1 column image A document will be provided with task An image has been attached to this to show example of a page with the issues If you can fix them properly, we can then hire to edit each top left 2/3 column image that exists on every page. There is about 20 of them. LESS THAN $75 BUDGET"
52,"I need an experienced freelancer to help me list my private label (PL) product on the Amazon UK marketplace. Requirements: - You must be able to create the listing without using a UPC/EAN barcode. - I have professional product images ready. - I also have the product description and bullet points prepared. Ideal Skills and Experience: - Proven experience with Amazon listing creation, specifically in the UK market. - Familiarity with Amazon's policies regarding UPC/EAN barcodes. - Attention to detail and ability to ensure a high-quality, compliant product listing. Looking forward to your proposals!"
53,"We are currently seeking a highly strategic and resourceful Sourcing and Procurement Expert to join our team as we launch a new furniture and mattress production facility in the Dominican Republic. Our locations of choice will be in the Santo Domingo or Puerto Plata area (waiting on location analysis). This critical role will be instrumental in developing and executing a robust procurement strategy, with a strong emphasis on cost-effective sourcing and maximizing the use of locally available materials, suppliers, and partnerships. Our company specializes in the production of premium upholstered and solid wood furniture, as well as technologically advanced Smart Furniture and mattresses—featuring components such as electric recline mechanisms, integrated LED lighting, Bluetooth audio..."
54,I need assistance with a sewing project for felt puffy popsicles for my granddaughter’s classmates. All felt pieces are cut out and ready to sew. Requirements: - Machine sewing is preferred - Using polyfil for stuffing - Following a provided pattern We are making a total of 40 popsicles. Ideal Skills and Experience: - Proficient in machine sewing - Experience with stuffed items - Attention to detail and ability to follow patterns
55,"I'm looking for a skilled developer to fix an issue with my website header. The styling is incorrect. This issue is present on all devices. Ideal skills and experience: - Proficiency in HTML, PHP, and CSS - Strong understanding of responsive design - Attention to detail and ability to fix CSS formatting issues - Immediate availability for work This is a simple fix for the right person, and there is likely to be more work in the future."
56,"I need a visually appealing poster to raise awareness on a specific topic. The poster will be shared on social media platforms. Requirements: - Yiddish language - Eye-catching design - Clear, concise messaging - High-resolution format suitable for social media The ideal freelancer should have: - Fluent yiddish speaking - Strong graphic design skills - Experience creating social media content - Ability to convey complex ideas simply and engagingly"
57,"Mobile App UI/UX Design Project goal To design a mobile app with a clean, modern, minimalist aesthetic, focused on delivering a user-friendly visual experience with easy data visualization. Brand Guidelines Modern, minimalist, and clean with soft, earthy, nature-inspired colors and rounded, approachable visual elements. Scope of work - Design 8-10 mobile app screens for both iOS and Android platforms - Include components such as onboarding panels, map views, dashboard cards, graphs/charts, insight cards, comparison screens, and settings/profile page - Create both low-fidelity wireframes and high-fidelity final designs - Deliver assets in preferred Figma, or alternatives like Adobe XD / Sketch - Provide standardized UI components for development with Flutter or React Native - Ensure desig..."
58,"I'm seeking an experienced developer to help with a Twine project. I have specific design descriptions and need assistance in coding the visuals to make the game neat. From what I know Twine is really easy to use, I just have zero experience in coding. Requirements: - Visuals should adapt to different game levels. - Styles required: Colorful and vibrant, Dark and moody. - Key elements to design: Backgrounds and User Interface. Skills and Experience: - Proficiency in Twine and its coding language. - Strong graphic design skills, especially in colorful, vibrant, and dark moody themes. - Experience in creating intuitive and engaging User Interfaces. - Ability to translate design descriptions into functional visuals. If you have a portfolio showcasing similar work, please include it wi..."
59,"Hello We are a background check company and we are looking for freelancers from across ITALY to join our team to help us conduct site visits for document verification, primarily focusing on educational certificates, employment records and health licenses. Key Responsibilities: - Conduct site visits to government/private agencies for document verification. - Verify educational/ employment certificates or health licenses from various institutions. - Provide accurate reports on the verification process. Ideal Skills and Experience: - Strong attention to detail. - Excellent communication skills. - Ability to travel for site visits. Compensation: - The rate per task is $20 per completed task, with a possible increase in the future after appraisal. - This is a long term relationship, with si..."
60,"I need a skilled 3D modeler to turn a JPEG image into a detailed 3D sculptural model, with exact likeness to the image. The final model will be used to fabricate a metal piece of art Ideal Skills and Experience: - Proficiency in 3D modeling software (e.g., ZBrush, Blender) - Experience with sculptural models - Attention to detail is paramount - Ability to work from 2D images to create accurate 3D representations - Knowledge of fabrication processes, especially with steel I would love to add Arabic calligraphy for on the musical staff lines in the back of the bench ""وفي عناق الأعين لحن بالسكون يهمس I am imagining the letters between the lines of the musical staff"
61,I'd like to get some proper dating photos done: More details: Is this project for business or personal use? Personal What information should successful freelancers include in their application? Past work How soon do you need your project completed? Within a month
62,"I'm looking for a creative designer to create a t-shirt for a cosplay of Akito Shinonome. Requirements: - Flame-style design - Character: Akito Shinonome - Design type: Flame design Ideal Skills and Experience: - Experience in anime art and t-shirt designs - Familiarity with Akito Shinonome character - Strong illustration skills, especially with flame motifs Please provide samples of previous work."
63,"I'm looking for a fully automated sports arbitrage finder. This tool should focus on football, basketball, and tennis. Key Requirements: - It must send notifications via WhatsApp about arbitrage opportunities. - I want to input my own online bookmakers, such as , etc. to be used for these opportunities. All must be legal licensed South African book makers. - i must also be able to be able to see odds even if there is no arbitrage opportunities. - When a opportunity is sent via WhatsApp, links must also be included in the message to go directly to the sports bookie and specific bet/odds to action the bet in the quickest possible time not to loose the opportunity due odds change. - I must also be able to specify the minimum percentage witch a arbitrage opportunity will sent to the W..."
64,"I need a bold and playful logo, and potentially a banner, for the Seattle University Ski and Board club (SU Ski and Board). This club is all about getting university students excited about mountain sports and building a community of mountain enthusiasts on campus. The logo should be relatively clean and devoid of unnecessary clutter, but not necessarily to the point of being minimalist. We are also college students and don't have that much money so we probably can't afford anything super intricate. We want to use this logo on our social media, and hope to print it out so that we can hand out stickers and make T-shirts for our members. Requirements: - Style: Bold and playful - Elements: Must include mountains, skiing and snowboarding equipment (or depictions of skiing and snowboa..."
65,I'm looking for a skilled developer to create a portfolio site for me using Python. The site will primarily feature a project showcase. Key Requirements: - Developed using Python - Project showcase feature Ideal Skills: - Strong proficiency in Python - Experience in building portfolio websites - Good design sense for an appealing layout
66,I need a PHP application converted to a Windows desktop app. This includes: - Setting up a service to load an Apache server - Encrypting the source code with a custom solution The desktop app should have a minimal user interface. Ideal Skills: - Experience with PHP and Apache - Proficiency in Windows desktop application development - Knowledge of code encryption and security Please provide examples of similar work done.
67,"I'm seeking an experienced designer to create custom t-shirt designs for Print on Demand platforms like Amazon Merch, Redbubble, and Teespring. Key Requirements: - Creative, high-quality designs - Print-ready at 300 DPI - Customer-attractive and sales-driven Ideal Skills & Experience: - Proficiency in graphic design software - Experience with Print on Demand platforms - Strong understanding of market trends and customer preferences - Ability to work within specified themes or styles"
68,AUTOBID REJECTED ( read before ) Hello i have an app based on flutter Its a system that we create tickets from an app and an api collect the data and send it by sms to the client . Its based on flutter system. Both making tickets and api app is in android . We need to develop this app a bit more with some modifications We would like to change the 1. App logo 2. The sms that clients get 3. Be accessed on a browser not only app 4. Search system for all clients 5. Search system for all tickets Only flutter and android app developers. Check the document to see thats all we have and the source code Put Yun in bid to be considered . Auto bid rejected
69,"I'm looking for an expert in DentalDB-9036 and PartialCADApp-3.2.616 to assist with 3D dental modeling, specifically crown and bridge design. Key Requirements: - Proficiency in DentalDB-9036 and PartialCADApp-3.2.616 - Expertise in 3D dental modeling, particularly crown and bridge design - Attention to detail and precision - Ability to work within project timelines Ideal Skills & Experience: - Previous experience in dental modeling software - Strong background in dental anatomy and design - Excellent problem-solving skills If you have a strong portfolio and relevant experience, I look forward to your bid."
70,"I need help resolving an ""proxy Error reading from remote server"" dont know where issue is coming from Ideal Skills and Experience: - Experience with Application Servers whm and cpanel servers - Strong troubleshooting skills - Knowledge of server logs and error diagnostics - Familiarity with network configurations and remote server interactions - familiar with s3 buckets Please provide a brief summary of your experience and approach to this issue."
71,"I need urgent assistance with various tasks for my company. Ideal skills and experience: - Ability to work quickly and efficiently - Experience in graphic design, content writing, or data entry - Strong organizational and multitasking skills Please provide a brief overview of your relevant experience and how soon you can start."
72,"I'm looking for a WordPress expert to fix a couple of minor styling issues on my site. Requirements: - Adjust header for proper styling - Modify CSS to make a button behave as ""Active"" when on its specific page Ideal Skills: - Proficiency in WordPress - Strong CSS skills - Experience with WordPress header styling This is a small fix, so looking for someone who can complete it efficiently."
73,"I need a utility token listed on CoinGecko. The token is built on Binance Smart Chain and has passed a security audit. Key Requirements: - Experience with CoinGecko listing process - Strong understanding of Binance Smart Chain - Proven track record with token listings - Ability to provide necessary documentation and support Ideal Skills: - Crypto exchange listing experience - Blockchain knowledge, especially BSC - Excellent communication skills"
74,"I’m seeking a telecom-savvy professional or engineer (preferably with experience in data analysis, connectivity services, or GTM strategy) to urgently help complete a high-stakes case study for a final interview with e& UAE (formerly Etisalat) for the Manager – Customer Success Management role. Deadline: 24 hours – submission due Monday morning UAE time. Deliverables (within 24 hours): 1. Excel file with analysis + summary tab 2. GTM deck or doc (PPT or PDF format) 3. Optional: 2–3 min Loom video explaining logic (nice-to-have) Hint: I need standout work that demonstrates strategic thinking, data fluency, and telecom understanding — no generic templates. Budget: Open to fair pricing for quality + urgency. Bonus available for insightful, clean, an..."
75,"I need a picture edited with a quick background and floor edit. Requirements: - Replace existing background with a bedroom/hallway dim lights scene - Maintain color scheme to match the bedroom - Ensure a natural integration of the subject with the new background Ideal Skills: - Proficient in photo editing software (e.g., Photoshop, Lightroom) - Experience with background replacement and color matching - Attention to detail for a seamless final image Looking for a fast turnaround on this."
