ID,Description,Category_English
17,"السلام عليكم
ابحث عن مصمم لتصميم صفحة الهبوط للمتجر التصميم سيكون عبارة عن بنرات بمقاس ٩٠٠*١٩٠٠
بنر رئيسي
بنر عبارة تسويقية
تعديل خلفية صور المنتجات ٤ منتجات.
تصميم بنر جدول مقارنة
تصميم بنر كود الخصم
تصميم بنر او ٢ لآراء العملاء
تصميم بنر مميزات المتجر
المشروع مستعجل لذلك راح اخليه خلال يوم وسأرفع السعر
معرض الاعمال مهم جداً اريد شخص متمكن في التصميم جداً",Software Engineering
18,مطلوب مصمم لديه خبرة ب wordpress للعمل مع وكالة دعاية واعلان بالمملكة,Web Development
19,"كتابه وتصميم مشروع محاسبي لشركة أغذية
بحاجة إلى كاتب محترف لكتابة المشروع كاملاً
وبحاجة إلى مصمم موقع الكتروني",Web Development
20,"مرحبًا،
أبحث عن مصمم مواقع محترف وذو ذوق فني عالي، لتصميم واجهة مستخدم جذابة ومريحة وتجربة استخدام سلسة، لموقع إلكتروني سيتم تنفيذه لاحقًا. الهدف من هذا المشروع هو الحصول على تصميم إبداعي وعملي يعكس هوية النشاط ويُظهره بمظهر احترافي وعصري.
سيكون الموقع متجاوبًا بشكل كامل مع جميع الأجهزة (الهواتف الذكية، التابلت، أجهزة الكمبيوتر)، ويُراعى فيه ترتيب المحتوى وسهولة التنقل وسرعة تحميل الصفحات.
تفاصيل المشروع:
تصميم صفحة رئيسية جذابة تعكس هوية الموقع.
تصميم عدد من الصفحات الداخلية مثل: صفحة من نحن، الخدمات، تواصل معنا، صفحة مقالات أو مدونة (يتم تحديد العدد النهائي لاحقًا).
الالتزام بأفضل معايير التصميم من حيث الألوان، الخطوط، والأيقونات.
تصميم واجهات متجاوبة وملائمة لكافة أحجام الشاشات (Responsive Design).
إمكانية التعديل على التصميم بناءً على الملاحظات لضمان الوصول للنتيجة المثالية.",Web Development
21,"يوجد مودل بايثون جاهز يحتاج برمجة واجهات باستخدام flutter , فكرة التطبيق ترجمة لغة الاشارة العربية والمودل جاهز مدرب وكل شي.",Mobile Development
22,"السلام عليكم
عندي تطبيق فجأة لم تظهر الصور والخرائط لم تعد تعمل
مطلوب اصلاحةما
التطبيق اللغة Dart
منصة Flutter
أما لوحة التحكمJavaScript و Backend باستخدام Laravel",Web Development
23,"تطبيق SCADA System ل LS PLC
حاليا ال PLC به سوفت وير للتحكم في تشغيل الماكينات (Switching & Monitoring)
واريد ان ارفع هذا السيستم علي SCADA",Mobile Development
24,"عنوان المشروع
إنشاء بوت محلي (Desktop Bot) يعتمد على ChatGPT API للتحكم في الملفات
نبذة عن المشروع
أحتاج إلى بوت يعمل محليًا على جهاز Windows (يمكن تشغيله من سطر الأوامر أو كواجهة بسيطة) يربط بين ChatGPT API ووظائف إدارة الملفات لديّ، بحيث أستطيع إصدار أوامر نصية بالعربية أو الإنجليزية مثل:
«انسخ كل ملفات .xlsx من D:\Reports إلى D:\Backup»
«ابحثلي عن الملفات اللي اسمها تحتوي ""budget"" في E:\»
ويردّ البوت بتنفيذ الأمر فعليًا وإعطائي ملخص نجاح/فشل.
المطلوب بالتفصيل
المهمةالتفاصيل المتوقعة
1. اختيار التقنيةلغة Python (يفضّل مع openai + click أو typer؛ أو أي إطار بسيط).
2. توصيل ChatGPT APIأخذ المفتاح من متغيّر بيئي أو ملف .env (لا يتم تخزينه صريحًا في الكود).
3. تصميم أوامر الوظائفنسخ، نقل، حذف، إعادة تسمية، إنشاء مجلد، بحث حسب الاسم أو الامتداد… إلخ.
4. حماية وأمان- تأكيد قبل أي عملية حذف دائمة.
- سجّل Log بكل الأوامر المنفذة.
5. واجهة الاستخدامأحد الخيارين:
• CLI تفاعلي يعطي Prompt ويعرض النتائج.
• أو واجهة Streamlit/سطر أوامر مع TextBox.
6. التوثيقدليل مختصر لكيفية التنصيب والتشغيل وإضافة أوامر جديدة.
المخرجات المتوقعة
ملف تنفيذي أو سكربت جاهز للتشغيل محليًا (يفضّل python -m venv + requirements.txt).
كود مصدر منظم مع تعليقات.
ملف README (Markdown) يشرح الإعداد والاستخدام.
سجل مختصر بالفيديو أو GIF يبيّن مثال تشغيل (اختياري لكن ميزة).
المتطلبات الفنية
خبرة واضحة باستخدام ChatGPT API (function-calling أو سياق نصي).
خبرة بـ Python ومعالجة الملفات في Windows.
قدرة على إنهاء وتسليم المشروع بسرعة (مطلوب عاجل).
مدة التنفيذ & الميزانية
المدة القصوى: 1–2 أيام من تاريخ الإسناد (كلما أسرع، كان أفضل).
الميزانية: اذكر عرضك النهائي مع زمن التسليم وخبرة سابقة مشابهة.",Cyber Security
25,"السلام عليكم
لدي تطبيق لمشاهدة القنوات مصنوع بflutter ولوحة التحكم الخاصة به php واريد اضافة التعديلات التالية عليه :
1- تغيير مشغل التطبيق الى مشغل vlc مدمج داخل التطبيق بدون الحاجة لتثبيت vlc خارجيا .
2 - عدم قدرة المستخدم على الدخول واستخدام التطبيق عند تشغيل vpn او proxy لحماية روابط القنوات من السرقة .
3 - اضافة اعلانات ادموب ( مدمجة وفتح التطبيق ) .
4 - معرفة المستخدمين الذين يستخدمون التطبيق بدون اعلانات وتخزين بياناتهم في الداتابيز لحظرهم ومنعهم من استخدام التطبيق .
5 - اضافة واجهة رئيسية مثل واجهة تطبيق iptv smarter player بحيث يتم تعريف البيانات من لوحة التحكم قبل الدخول لصفحة القنوات .
6 - من الممكن طلب تعديلات اخرى .",Mobile Development
26,"المشروع الأول : تعديل متجري القديم بشكل إحترافي بأعلى قدر ممكن من الإحترافيه وتحسينه من محركات البحث وقوقل و ايسو .. الخ من إبداعات المصمم وخدماته . ( لا نستغني من خبرة المصمم في تقديم العمل بإحترافية عالية )
عنوان متجري القديم : https://salla.sa/remot
وأريد أن يحاكي هذا المتجر : https://kooraplanet.com/
نفس الأسعار ونفس المنتجات ( نفس كل شي ما عدا اختلاف التصميم ، واسم المتجر ) طبعا .
المتجر الثاني : إنشاء متجر جديد يحاكي هذا المتجر : https://hassontv.com/
بنفس الإحترافية .
تحسين محركات البحث .. الخ .
ابداع المصمم .. ( لا نستغني من خبرة المصمم في تقديم العمل بإحترافية عالية )",Web Development
27,"مطلوب مختبر أنظمة (System Tester) لتجربة نظام نقاط بيع (POS) للمطاعم
نبحث عن شخص مختص لتجربة نظام POS لمطعم من جميع الزوايا، وتشمل المهام العامة:
•اختبار النظام من منظور المدير، الموظف، الكاشير، والعميل
•تجربة جميع العمليات الأساسية (البيع، الإرجاع، الخصومات، الطباعة، التقارير، إلخ)
•رصد المشاكل أو الأخطاء وتوثيقها
•تقديم تقرير نهائي يشمل الملاحظات، التحسينات المقترحة، وتجربة المستخدم
المتطلبات:
•خبرة سابقة في اختبار الأنظمة أو الأنظمة المشابهة
•القدرة على توثيق الملاحظات بشكل احترافي
•الالتزام بالمدة المحددة للتجربة
للمهتمين، ارفاق نموذج لاختبارات سابقه",System Testing / QA
28,"نبحث عن مبرمج أو فريق تقني محترف لتطوير نظام SaaS (Software as a Service) متكامل من الصفر. المشروع يشمل برمجة الواجهة الأمامية والخلفية مع ربط النظام بالدفع الإلكتروني وخدمات خارجية حسب الحاجة. النظام مخصص لتقديم خدمة [حدد نوع الخدمة لو حاب: مثل CRM، إدارة مواعيد، ذكاء اصطناعي للرد الآلي... إلخ].
المتطلبات الأساسية:
خبرة مثبتة في تطوير أنظمة SaaS.
خبرة في بناء لوحات تحكم متكاملة (Dashboard) للمستخدمين.
بناء قاعدة بيانات مرنة وقابلة للتوسعة.
ربط النظام بوسائل دفع إلكتروني (مثلاً: Stripe، PayPal، STC Pay).
أمان عالي للنظام وحماية البيانات.
قابلية ربط النظام بخدمات API خارجية.
دعم اللغة العربية أساسي (مع إمكانية التوسعة لاحقاً).
توفير كود نظيف وقابل للتوسعة.
التقنيات المفضلة (يمكن التفاوض):
Backend: Node.js, Python Django, أو Laravel
Frontend: React.js, Next.js أو Vue.js
Database: PostgreSQL أو MongoDB
Hosting: AWS أو DigitalOcean
ملاحظات إضافية:
يفضل وجود خبرة سابقة في مشاريع مماثلة، مع عرض أمثلة للأعمال السابقة.
نرغب بعقد دعم وصيانة مبدئي بعد الإطلاق لمدة 3 أشهر.",Web Development
29,"أبحث عن مستقل متمكن لإنشاء متجر إلكتروني احترافي، سهل الاستخدام، وسريع في الأداء على منصة شوبيفاي عما بأن المتجر مفتوح جديد وتم ربطع مع بوابة الدفع
المتطلبات:
•تصميم متجاوب احترافي متوافق مع الهوية البصرية.
•إنشاء صفحات المتجر الرئيسية
(الرئيسية، المنتجات، من نحن، تواصل معنا ، سياسة الخصوصيه ، الشحن ، الارجاع .... الخ ، وأنا من سيقوم بتزويد المستقل بجميع بيانات ومحتوى الصفحات ، علما بأن المتجر عباره عن منتج واحد
•عرض المنتجات بشكل منظم وجذاب.
•على دراية تامه بربط وسائل الشحن المناسبة.
•تجربة مستخدم سهلة وسلسة على جميع الأجهزة.
•تحسين أداء الموقع وتهيئته لمحركات البحث.
•إمكانية إدارة المنتجات والمحتوى بسهولة بعد التسليم.
•لمسة إبداعية واهتمام بأدق التفاصيل.
•توفير دعم فني مؤقت بعد التسليم.
ملاحظات:
الموقع جاهز على منصة اخرى ولكن اريد نقله على شوبيفاي بأسرع وقت ممكن
•يرجى إرفاق نماذج أعمال سابقة في نفس المجال.
•يُفضل من لديه حس إبداعي وسرعة في التواصل
ملاحظة : سيتم نقاش السعر حيث انه قابل للزيادة أو النقصان بعد مناقشة التفاصيل مع المستقل",Web Development
30,"موقع لتقديم خدمات رجال الاعمال والمستثمرين الاجانب يتكون الموقع من 3 اقسام ويقدم خدمات متكاملة للمستثمر على حسب نشاطه مع التسويق للموقع خارجيا ويكون مبدئيا بالعربي والانجليزي مع امكانية اضافة صفحات لاحقا
1 القسم الاول تعريفي
2 القسم الثاني للمستثمر يملىء فراغات النشاط ونوعه ونوع الخدمات المقدمة
3 القسم الثالث للشركات المتعاونة في تقديم الخدمات",Web Development
31,"مطلوب مصمم واجهات أمامية ومبرمج باكند والتصميم Ui ux جاهز عندي لشكل لوحة تحكم وواجهات أمامية وريسبونسف ككل
لغة برمجة مطلوبة Next js لواجهات أمامية بسبب سيو لغة react js بسبب أداء لوحة التحكم وأمان من لدي وا php laravel للوحة التحكم
أعمال السابقة أو تقييمات
أقل مبلغ ممكن 1800 $ على حسب اتفاق",Web Development
32,"انشاء داش بورد تفاعلي في power bi
لإحصائيات مركز طبي
الموارد البشرية
المواعيد
سيتم تزويد بملف اكسيل ليتسنى لك انشاء الداش بورد",Data Science
33,"عندي موقع مبني على لارافل فيو جي اس وارغب بعمل تعديل عليه
نخلي الجداول تتحدث تلقائيا لما يجي تحديث عليها بدل ما نحتاج نعمل ريفريش للصفحة",Web Development
34,"أبحث عن مبرمج محترف لديه خبرة في تصميم وبرمجة تطبيقات جوال (iOS و Android).
عندي فكرة تطبيق مجتمعي بسيطة تخدم فئة معينة في المجتمع، وسهلة التنفيذ.
راح أوضح الفكرة بالتفصيل فقط بعد الاتفاق مع المستقل المناسب.
المتطلبات المبدئية:
•تسجيل دخول بسيط
•إضافة محتوى مع صورة وموقع
•عرض محتوى مضاف من الآخرين
•إشعارات حسب الموقع
أرجو من المهتمين:
•إرسال روابط لأعمال سابقة
•توضيح مدة التنفيذ
•عرض التكلفة المتوقعة
وشكرًا لكم",Web Development
35,"السلام عليكم
⸻
عنوان المشروع:
تطوير تطبيق موبايل وإدارة ويب لشركة استشارات هندسية (عملاء + إدارة)
⸻
وصف المشروع:
نرغب في تطوير تطبيق ذكي يخدم شركتنا “بناء المستقبل للاستشارات الهندسية”، ويكون موجهًا لفئتين:
1.العملاء: لمتابعة طلباتهم، التقديم على خدماتنا، تحميل المستندات، ومتابعة مراحل المشروع.
2.الفريق الإداري والمهندسين: لإدارة المشاريع، رفع التقارير، توزيع المهام، ومتابعة الأداء.
⸻
المنصات المطلوبة:
•تطبيق موبايل (iOS و Android) باستخدام Flutter أو أي تقنية متعددة المنصات.
•لوحة تحكم ويب (Admin Panel) لإدارة البيانات والمشاريع من قبل الإدارة.
⸻
الوظائف الرئيسية المطلوبة:
للعملاء:
•تسجيل الدخول برقم الجوال أو البريد الإلكتروني.
•تقديم طلب جديد (تصميم، إشراف، استشارة).
•متابعة حالة المشروع (نسبة الإنجاز، الصور، التقارير).
•تحميل المستندات (PDF، DWG).
•استقبال إشعارات فورية بكل جديد.
•التواصل المباشر مع المكتب.
للإدارة والمهندسين:
•لوحة تحكم شاملة لعرض حالة جميع المشاريع والعملاء.
•نظام إدارة المهام والتقارير اليومية لكل مشروع.
•تحميل ومشاركة المستندات الداخلية والخارجية.
•سجل زمني لتقدم المشروع.
•صلاحيات مرنة للمستخدمين (مدير، مهندس، موظف…).",Web Development
36,"السلام عليكم،
أبحث عن مصمم محترف لتصميم واجهة متجر إلكتروني على منصة Shopify لعلامة تجارية سعودية فاخرة اسمها ""عز للعناية"".
المطلوب:
- تصميم موقع احترافي متكامل (متوافق مع الهوية البصرية للبراند)
- إضافة المنتجات (وصف – صور – أسعار)
- ضبط إعدادات الدفع والشحن
- مظهر متجاوب مع الجوال والكمبيوتر
- اقتراح تحسينات لتجربة المستخدم
- الأفضلية لمن لديه أعمال سابقة في مجال منتجات العناية أو التجميل
الميزانية مفتوحة حسب جودة العمل، يرجى إرسال نماذج من أعمالكم السابقة.
تحياتي،
عبدالعزيز",Web Development
37,"لدي بيانات فيها تكاليف اصلاح سيارات
اريد تدريب نموذج ذكاء اصطناعي تنبؤي بإمكانه التنبوء بتكاليف اصلاح السيارات الجديدة و قطع غيارها بناء على البيانات القديمة
و يكون بإمكانه التحليل بالمقارنة بين تكاليف السيارات المتشابهة في الحجم
مثلا ً تويوتا كورولا و هيونداي النترا
المخرجات المتوقعة (Outputs)
نموذج تنبؤي (model artifact)
واجهة برمجة تطبيقات API (REST/JSON) لاستقبال مدخلات حالة إصلاح جديدة وإرجاع تقدير التكلفة.
تقرير أداء النموذج يشمل مؤشرات RMSE، MAE، R² على بيانات الاختبار.
كود برمجي منظم
هذا المشروح سيكون البداية لمشروع أخر فيه تحليل اضرار السيارات من الصور و لكنها غير متوفرة حاليا ً",Mobile Development
